발급사코드,발급사명,매입사명,,개인/법인,구분,,브랜드,구분,,신용/체크,구분
0002,광주은행,비씨카드,,P,개인,,L,로컬,,Y,체크
0006,하나카드,하나카드,,C,법인,,M,마스터,,N,신용
0008,하나카드,하나카드,,,,,J,JCB,,G,기프트
0010,전북은행,비씨카드,,,,,D,다이너스,,,
0011,제주은행,비씨카드,,,,,A,아멕스,,,
0016,국민카드,국민카드,,,,,V,비자,,,
0017,수협은행,비씨카드,,,,,C,은련,,,
0018,NH농협카드,NH농협카드,,,,,U,은련,,,
0019,씨티카드,비씨카드,,,,,G,은련,,,
0022,씨티카드,비씨카드,,,,,,,,,
0025,,,,,,,,,,,
0026,비씨카드,비씨카드,,,,,,,,,
0027,현대카드,현대카드,,,,,,,,,
0029,신한카드,신한카드,,,,,,,,,
0031,삼성카드,삼성카드,,,,,,,,,
0034,,,,,,,,,,,
0041,지드림카드,,,,,,,,,,
0045,롯데카드,롯데카드,,,,,,,,,
0047,롯데카드,롯데카드,,,,,,,,,
0057,,,,,,,,,,,
0058,컬러풀드림카드,,,,,,,,,,